# G10
# Additional notes:
#	naxes: 3
#	device: Bartington Mag13-MSL100
#	pos_unit: cm
#	scaling: 100 mV/uT
#	power: Bartington SCU1
#	gain: 1000x
#	LPF: 1 kHz
#	HPF: 0 Hz
#	input_mode: balanced
#	output_mode: conditioned
#	mapping: {x:z, y:-y, z:x}
#	cyclotron: OFF
#	degaussed: False
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),position,state,coil,col,row
1744671685.6091406,-0.0290344999062654,0.0217799794894381,0.0678595091794704,0.0245572328854812,0.0259046915582583,0.0150273761254286,-99.5,-1,38,0,0
1744671686.0456374,-0.026282174617736,0.0218810955226945,-0.0027204197401442,0.0234715568607308,0.0257487140467856,0.0145816764264055,-99.5,1,6,0,0
1744671686.5086875,-0.0285347022642963,0.0220361296880582,0.0608321792948117,0.024783470559596,0.0259373561655852,0.0160232176748271,-99.5,-1,6,0,0
1744671686.945239,-0.0319810867548221,0.0224487206120102,0.0258350918772339,0.0230467029799781,0.0259030995602296,0.0139854812410639,-99.5,1,3,0,0
1744671687.4114816,-0.0337575719944288,0.022129587783711,0.0238183974519779,0.0238844838625199,0.0257417972594826,0.0146465719085351,-99.5,-1,3,0,0
1744671687.8477666,-0.0382471551279013,0.0220311285859497,0.1089840406710573,0.0224389693153922,0.0258737020732576,0.0144136754035955,-99.5,1,24,0,0
1744671688.3187275,-0.0218916758197883,0.0220255023460777,-0.0574009073501656,0.0232949880556841,0.0259041764668282,0.0146872161804487,-99.5,-1,24,0,0
1744671688.756795,-0.0322900610944634,0.0220548838209651,-0.0103067790698696,0.0243992468207491,0.025948697731172,0.0146955768674145,-99.5,1,8,0,0
1744671689.2246678,-0.0365380284823186,0.0220045602309983,0.0534333612941554,0.0221973266655961,0.02588376526378,0.0141688238104701,-99.5,-1,8,0,0
1744671689.6613374,-3.790253215184566,0.0214683483143016,-3.3147449884498927,0.0232054390435708,0.0257410288045469,0.0144381151156135,-99.5,1,10,0,0
1744671690.1249166,3.718982712365541,0.022019250968442,3.3517011483789245,0.0232754047272731,0.0259207671399503,0.014657934027519,-99.5,-1,10,0,0
1744671690.5598571,-0.0440349931118544,0.021913290117518,-0.0641916225913155,0.02303492319132,0.0257892873800615,0.0143618224584643,-99.5,1,29,0,0
1744671691.025678,-0.0285876826897583,0.0217996713289903,0.1100864711171016,0.024809370890789,0.0258704107171913,0.0159481355182762,-99.5,-1,29,0,0
1744671691.459848,-0.039356149520463,0.0217698210007802,-0.0538987293142417,0.0224672901787626,0.0259438529539556,0.0148357869602993,-99.5,1,21,0,0
1744671691.924022,-0.0306482930429046,0.0218954736912564,0.1030380428329226,0.024060318715227,0.0259795289872915,0.0143577965593932,-99.5,-1,21,0,0
1744671692.3622773,-0.0538060526407934,0.022254146483101,-2.435740029378721,0.02323988851294,0.0259072131535185,0.0147345405381254,-99.5,1,12,0,0
1744671692.827073,-0.0114959473806084,0.0216372917949047,2.487021221159812,0.023052341360782,0.0265327883640441,0.015073249663005,-99.5,-1,12,0,0
1744671693.2644494,0.0082051129536557,0.0219182912196265,-0.2329645968693512,0.0245386573145727,0.0258363537105502,0.014629515652554,-99.5,1,33,0,0
1744671693.7273197,-0.0706802400082233,0.0218657796474872,0.2799535927658144,0.0229044998391954,0.0258422868765315,0.0142773346390815,-99.5,-1,33,0,0
1744671694.166229,-0.1551190042927192,0.0220626980430097,0.3804402685787499,0.0238482438616062,0.0258486405815319,0.015072852733931,-99.5,1,50,0,0
1744671694.6288564,0.0920290542476868,0.0219207917706808,-0.335182591718476,0.0232144393781499,0.0257792532840268,0.0141733406375253,-99.5,-1,50,0,0
